t_s,activity
453549520.40676254,0.7174396737483524
456281746.4333093,0.716005941864369
459013972.4598561,0.7145750751510619
461746198.4864028,0.7131470678826721
464478424.5129496,0.7117219143448832
467210650.53949636,0.7102996088347981
469942876.56604314,0.7088801456609166
472675102.59258986,0.7074635191431123
475407328.61913663,0.70604972361261
478139554.6456834,0.7046387534119627
480871780.6722302,0.7032306028950296
483604006.69877696,0.7018252664269532
486336232.7253237,0.7004227383841364
489068458.75187045,0.6990230131542204
491800684.7784172,0.6976260851360623
494532910.804964,0.6962319487397124
497265136.8315107,0.6948405983863918
499997362.8580575,0.6934520285084705
502729588.8846043,0.6920662335494449
505461814.91115105,0.690683207963915
508194040.93769777,0.6893029462175636
510926266.96424454,0.6879254427871324
513658492.9907913,0.6865506921604013
516390719.0173381,0.6851786888361658
519122945.0438848,0.6838094273242149
521855171.0704316,0.6824429021453091
524587397.09697837,0.6810791078311588
527319623.12352514,0.6797180389244022
530051849.1500719,0.6783596899785836
532784075.17661864,0.6770040555581313
535516301.2031654,0.6756511302383361
538248527.2297121,0.6743009086053298
540980753.256259,0.6729533852560627
543712979.2828057,0.6716085547982834
546445205.3093525,0.6702664118505154
549177431.3358992,0.6689269510420374
551909657.362446,0.6675901670128604
554641883.3889928,0.6662560544137072
557374109.4155395,0.6649246079059903
560106335.4420862,0.6635958221617908
562838561.468633,0.6622696918638373
565570787.4951798,0.6609462117054846
568303013.5217266,0.659625376390692
571035239.5482733,0.6583071806340024
573767465.57482,0.6569916191605214
576499691.6013669,0.6556786867058957
579231917.6279136,0.6543683780162924
581964143.6544604,0.6530606878483781
584696369.6810071,0.6517556109692972
587428595.7075539,0.6504531421566518
590160821.7341007,0.6491532761984804
592893047.7606474,0.6478560078932369
595625273.7871941,0.6465613320497701
598357499.813741,0.6452692434873029
601089725.8402877,0.6439797370354112
603821951.8668345,0.6426928075340037
606554177.8933812,0.6414084498333011
609286403.919928,0.6401266587938154
612018629.9464748,0.6388474292863288
614750855.9730215,0.6375707561918744
617483081.9995683,0.636296634401715
620215308.0261151,0.6350250588173224
622947534.0526618,0.6337560243503574
625679760.0792086,0.6324895259226494
628411986.1057553,0.6312255584661761
631144212.132302,0.6299641169230428
633876438.1588489,0.628705196245463
636608664.1853956,0.6274487913957372
639340890.2119424,0.6261948973462335
642073116.2384892,0.6249435090793674
644805342.2650359,0.6236946215875812
647537568.2915827,0.6224482298733244
650269794.3181294,0.6212043289490338
653002020.3446761,0.619962913837113
655734246.371223,0.6187239795699132
658466472.3977697,0.6174875211897127
661198698.4243165,0.6162535337486975
663930924.4508632,0.6150220123089412
666663150.47741,0.6137929519423853
669395376.5039568,0.6125663477308195
672127602.5305035,0.6113421947658625
674859828.5570503,0.6101204881489413
677592054.5835971,0.6089012229912726
680324280.6101438,0.6076843944138426
683056506.6366906,0.606469997547388
685788732.6632373,0.605258027532376
688520958.689784,0.6040484795189852
691253184.7163309,0.6028413486670862
693985410.7428776,0.6016366301462218
696717636.7694244,0.6004343191355884
699449862.7959712,0.5992344108240159
702182088.8225179,0.5980369004099492
704914314.8490647,0.5968417831014281
707646540.8756114,0.5956490541160694
710378766.9021583,0.5944587086810463
713110992.928705,0.5932707420330707
715843218.9552517,0.592085149418373
718575444.9817985,0.5909019260926833
721307671.0083452,0.5897210673212135
724039897.034892,0.5885425683786367
726772123.0614388,0.5873664245490694
729504349.0879855,0.5861926311260525
732236575.1145324,0.5850211834125317
734968801.1410791,0.5838520767208403
737701027.1676258,0.5826853063726783
740433253.1941726,0.5815208676990956
743165479.2207193,0.5803587560404724
745897705.2472662,0.5791989667465003
748629931.2738129,0.5780414951761647
751362157.3003596,0.5768863366977248
754094383.3269064,0.5757334866886968
756826609.3534532,0.5745829405358338
759558835.3799999,0.5734346936351082
762291061.4065467,0.5722887413916932
765023287.4330934,0.5711450792199442
767755513.4596403,0.5700037025433805
770487739.486187,0.5688646067946672
773219965.5127337,0.5677277874155967
775952191.5392805,0.5665932398570704
778684417.5658273,0.5654609595790809
781416643.592374,0.5643309420506935
784148869.6189208,0.5632031827500275
786881095.6454675,0.5620776771642396
789613321.6720144,0.5609544207895045
792345547.6985611,0.5598334091309976
795077773.7251078,0.5587146377028765
797809999.7516546,0.5575981020282634
800542225.7782013,0.5564837976392273
803274451.8047482,0.5553717200767654
806006677.8312949,0.5542618648907863
808738903.8578416,0.5531542276400916
811471129.8843884,0.5520488038923578
814203355.9109352,0.5509455892241195
816935581.9374819,0.5498445792207507
819667807.9640287,0.5487457694764478
822400033.9905754,0.5476491555942117
825132260.0171223,0.5465547331858305
827864486.043669,0.5454624978718612
830596712.0702157,0.5443724452816132
833328938.0967625,0.54328457105313
836061164.1233093,0.5421988708331721
838793390.1498561,0.5411153402771997
841525616.1764028,0.5400339750493547
844257842.2029495,0.5389547708224441
846990068.2294964,0.5378777232779225
849722294.2560431,0.5368028281058744
852454520.2825898,0.5357300810049973
855186746.3091366,0.5346594776825843
857918972.3356833,0.5335910138545074
860651198.3622302,0.5325246852451998
863383424.3887769,0.5314604875876389
866115650.4153236,0.5303984166233295
868847876.4418705,0.5293384681022866
871580102.4684172,0.528280637783018
874312328.4949639,0.5272249214325082
877044554.5215107,0.5261713148262006
879776780.5480574,0.5251198137479813
882509006.5746043,0.5240704139901614
885241232.601151,0.5230231113534612
887973458.6276977,0.5219779016469923
890705684.6542445,0.520934780688242
893437910.6807913,0.5198937443030551
896170136.7073381,0.5188547883256188
898902362.7338848,0.517817908598445
901634588.7604315,0.5167831009723538
904366814.7869784,0.5157503613064572
907099040.8135251,0.5147196854681423
909831266.8400718,0.5136910693330548
912563492.8666186,0.5126645087850823
915295718.8931653,0.5116399997163384
918027944.9197122,0.5106175380271458
920760170.9462589,0.5095971196260198
923492396.9728056,0.5085787404296526
926224622.9993525,0.5075623963628958
928956849.0258992,0.5065480833587452
931689075.052446,0.5055357973583242
934421301.0789927,0.5045255343108672
